"Statistic Label","Quarter","State","UNIT","VALUE"
"GNP at Current Market Prices (Seasonally Adjusted)","1995Q4","State","Euro Million","12570"
"GNP at Current Market Prices (Seasonally Adjusted)","1996Q4","State","Euro Million","13687"
"GNP at Current Market Prices (Seasonally Adjusted)","1997Q4","State","Euro Million","16453"
"GNP at Current Market Prices (Seasonally Adjusted)","1998Q4","State","Euro Million","18402"
"GNP at Current Market Prices (Seasonally Adjusted)","1999Q4","State","Euro Million","21154"
"GNP at Current Market Prices (Seasonally Adjusted)","2000Q4","State","Euro Million","24294"
"GNP at Current Market Prices (Seasonally Adjusted)","2001Q4","State","Euro Million","26056"
"GNP at Current Market Prices (Seasonally Adjusted)","2002Q4","State","Euro Million","28605"
"GNP at Current Market Prices (Seasonally Adjusted)","2003Q4","State","Euro Million","32476"
"GNP at Current Market Prices (Seasonally Adjusted)","2004Q4","State","Euro Million","34298"
"GNP at Current Market Prices (Seasonally Adjusted)","2005Q4","State","Euro Million","37619"
"GNP at Current Market Prices (Seasonally Adjusted)","2006Q4","State","Euro Million","41856"
"GNP at Current Market Prices (Seasonally Adjusted)","2007Q4","State","Euro Million","42225"
"GNP at Current Market Prices (Seasonally Adjusted)","2008Q4","State","Euro Million","37669"
"GNP at Current Market Prices (Seasonally Adjusted)","2009Q4","State","Euro Million","33568"
"GNP at Current Market Prices (Seasonally Adjusted)","2010Q4","State","Euro Million","35951"
"GNP at Current Market Prices (Seasonally Adjusted)","2011Q4","State","Euro Million","33986"
"GNP at Current Market Prices (Seasonally Adjusted)","2012Q4","State","Euro Million","34668"
"GNP at Current Market Prices (Seasonally Adjusted)","2013Q4","State","Euro Million","38412"
"GNP at Current Market Prices (Seasonally Adjusted)","2014Q4","State","Euro Million","42105"
"GNP at Current Market Prices (Seasonally Adjusted)","2015Q4","State","Euro Million","52901"
"GNP at Current Market Prices (Seasonally Adjusted)","2016Q4","State","Euro Million","58335"
"GNP at Current Market Prices (Seasonally Adjusted)","2017Q4","State","Euro Million","63420"
"GNP at Current Market Prices (Seasonally Adjusted)","2018Q4","State","Euro Million","60169"
"GNP at Current Market Prices (Seasonally Adjusted)","2019Q4","State","Euro Million","68839"
"GNP at Current Market Prices (Seasonally Adjusted)","2020Q4","State","Euro Million","68989"
"GNP at Current Market Prices (Seasonally Adjusted)","2021Q4","State","Euro Million","83259"
"GNP at Current Market Prices (Seasonally Adjusted)","2022Q4","State","Euro Million","86781"
"GNP at Current Market Prices (Seasonally Adjusted)","2023Q4","State","Euro Million","99663"
